npy_path,label,dataset,media_type
lovora-real/image_1749516721974_2_2_edited_0_02fc991a.npy,0,lovora-real,real
lovora-real/image_1749516724376_2_3_edited_0_6e52cd2e.npy,0,lovora-real,real
lovora-real/image_1749516771996_5_1_edited_2_9b32edf3.npy,0,lovora-real,real
lovora-real/image_1749516828460_14_3_edited_0_b9e35e2f.npy,0,lovora-real,real
lovora-real/image_1749516833572_15_3_edited_0_30ebaa4b.npy,0,lovora-real,real
lovora-real/image_1749516835732_14_1_edited_0_740394e0.npy,0,lovora-real,real
lovora-real/image_1749516867682_9_3_edited_0_74af5e44.npy,0,lovora-real,real
lovora-real/image_1749516909700_13_1_edited_0_b7f5804a.npy,0,lovora-real,real
lovora-real/image_1749516913772_13_0_edited_0_26efb0bb.npy,0,lovora-real,real
lovora-real/image_1749516928893_18_3_edited_0_f0fdd013.npy,0,lovora-real,real
lovora-real/image_1749516932037_15_3_edited_0_3e2bc7dc.npy,0,lovora-real,real
lovora-real/image_1749516941434_19_1_edited_0_65d68b7f.npy,0,lovora-real,real
lovora-real/image_1749516947196_17_3_edited_1_b2bbf986.npy,0,lovora-real,real
lovora-real/image_1749516951862_19_3_edited_0_fd53879c.npy,0,lovora-real,real
lovora-real/image_1749516951957_17_1_edited_0_f07cb69e.npy,0,lovora-real,real
lovora-real/image_1749516974153_22_1_edited_1_5f11e9ca.npy,0,lovora-real,real
lovora-real/image_1749516986691_23_1_edited_1_911e6c7b.npy,0,lovora-real,real
lovora-real/image_1749516995041_20_3_edited_0_5e20999b.npy,0,lovora-real,real
lovora-real/image_1749517017449_31_1_edited_3_2b0c9e0a.npy,0,lovora-real,real
lovora-real/image_1749517022525_26_2_edited_1_dec15e4f.npy,0,lovora-real,real
lovora-real/image_1749517041867_20_1_edited_1_e4030971.npy,0,lovora-real,real
lovora-real/image_1749517075585_28_1_edited_0_bab01a7e.npy,0,lovora-real,real
lovora-real/image_1749517089456_39_3_edited_0_57adba33.npy,0,lovora-real,real
lovora-real/image_1749517090277_30_2_edited_0_b52c1a80.npy,0,lovora-real,real
lovora-real/image_1749517108784_31_3_edited_0_3c01501f.npy,0,lovora-real,real
lovora-real/image_1749517172110_36_0_edited_0_1c491a69.npy,0,lovora-real,real
lovora-real/image_1749517181796_37_2_edited_0_bcdb1df5.npy,0,lovora-real,real
lovora-real/image_1749517195385_51_3_edited_1_8f86e1d0.npy,0,lovora-real,real
lovora-real/image_1749517216465_42_3_edited_0_3bdc697e.npy,0,lovora-real,real
lovora-real/image_1749517220974_41_3_edited_0_5d9917ab.npy,0,lovora-real,real
lovora-real/image_1749517244990_43_3_edited_1_f382aeb8.npy,0,lovora-real,real
lovora-real/image_1749517270497_47_0_edited_0_b6838228.npy,0,lovora-real,real
lovora-real/image_1749517270981_44_3_edited_0_4799a2c0.npy,0,lovora-real,real
lovora-real/image_1749517308179_50_1_edited_0_594d3b03.npy,0,lovora-real,real
lovora-real/image_1749517334181_53_1_edited_1_f00e031c.npy,0,lovora-real,real
lovora-real/image_1749517351344_58_3_edited_1_7827a424.npy,0,lovora-real,real
lovora-real/image_1749517356942_52_2_edited_0_b6a5c4d7.npy,0,lovora-real,real
lovora-real/image_1749517365331_60_0_edited_0_79ac2a44.npy,0,lovora-real,real
lovora-real/image_1749517386197_55_2_edited_0_8615680f.npy,0,lovora-real,real
lovora-real/image_1749517398947_64_3_edited_0_e8d57b00.npy,0,lovora-real,real
lovora-real/image_1749517409954_60_3_edited_0_0138e57c.npy,0,lovora-real,real
lovora-real/image_1749517455549_62_0_edited_0_f40a7e8a.npy,0,lovora-real,real
lovora-real/image_1749517458611_59_3_edited_0_da2b49e8.npy,0,lovora-real,real
lovora-real/image_1749517493630_65_2_edited_2_6092a183.npy,0,lovora-real,real
lovora-real/image_1749517495224_64_1_edited_1_0a94f3b9.npy,0,lovora-real,real
lovora-real/image_1749517495465_64_2_edited_0_9d2bcc5d.npy,0,lovora-real,real
lovora-real/image_1749517498522_66_1_edited_0_6ae54a37.npy,0,lovora-real,real
lovora-real/image_1749517510900_68_0_edited_0_614016f1.npy,0,lovora-real,real
lovora-real/image_1749517527581_68_1_edited_2_f2e97c51.npy,0,lovora-real,real
lovora-real/image_1749517538310_69_1_edited_1_ab49b82c.npy,0,lovora-real,real
lovora-real/image_1749517553156_65_0_edited_0_5f9f3e4c.npy,0,lovora-real,real
lovora-real/image_1749517592613_73_1_edited_0_0e8cfd1d.npy,0,lovora-real,real
lovora-real/image_1749517611626_74_1_edited_0_b6975b5d.npy,0,lovora-real,real
lovora-real/image_1749517634106_85_3_edited_0_0afc8180.npy,0,lovora-real,real
lovora-real/image_1749517645268_91_1_edited_1_b7fb0675.npy,0,lovora-real,real
lovora-real/image_1749517659821_79_3_edited_0_4fcfaa34.npy,0,lovora-real,real
lovora-real/image_1749517669371_88_3_edited_2_525c0fe6.npy,0,lovora-real,real
lovora-real/image_1749517700440_91_3_edited_1_511bbdb7.npy,0,lovora-real,real
lovora-real/image_1749517729300_85_3_edited_1_8ad228fd.npy,0,lovora-real,real
lovora-real/image_1749517735865_88_2_edited_0_fd5bb533.npy,0,lovora-real,real
lovora-real/image_1749517741034_95_2_edited_0_1ea690c5.npy,0,lovora-real,real
lovora-real/image_1749517748826_96_3_edited_1_04d27046.npy,0,lovora-real,real
lovora-real/image_1749517752880_87_1_edited_1_23f08301.npy,0,lovora-real,real
lovora-real/image_1749517753894_89_2_edited_0_7b437126.npy,0,lovora-real,real
lovora-real/image_1749517769052_90_3_edited_0_7da7d39b.npy,0,lovora-real,real
lovora-real/image_1749517771837_91_1_edited_1_5f9baca2.npy,0,lovora-real,real
lovora-real/image_1749517776462_87_0_edited_1_5feb0396.npy,0,lovora-real,real
lovora-real/image_1749517780868_91_2_edited_0_2f08a0d2.npy,0,lovora-real,real
lovora-real/image_1749517801156_101_3_edited_0_6b5a8a58.npy,0,lovora-real,real
lovora-real/image_1749517801287_93_2_edited_0_3c1447fc.npy,0,lovora-real,real
lovora-real/image_1749517813885_95_3_edited_2_2e6a50ad.npy,0,lovora-real,real
lovora-real/image_1749517827146_103_0_edited_0_d47087de.npy,0,lovora-real,real
lovora-real/image_1749517827876_103_3_edited_0_a47fc7d2.npy,0,lovora-real,real
lovora-real/image_1749517844643_92_2_edited_0_f36f0b6a.npy,0,lovora-real,real
lovora-real/image_1749517861452_110_0_edited_1_edb029ad.npy,0,lovora-real,real
lovora-real/image_1749517877240_99_2_edited_0_c861cf26.npy,0,lovora-real,real
lovora-real/image_1749517878175_103_3_edited_2_faa969cc.npy,0,lovora-real,real
lovora-real/image_1749517881527_114_1_edited_0_ce084bd7.npy,0,lovora-real,real
lovora-real/image_1749517885678_99_2_edited_1_0da651ab.npy,0,lovora-real,real
lovora-real/image_1749517902153_101_3_edited_3_ada1f2be.npy,0,lovora-real,real
lovora-real/image_1749517914973_110_2_edited_3_463762b5.npy,0,lovora-real,real
lovora-real/image_1749517941276_102_0_edited_1_fd863af5.npy,0,lovora-real,real
lovora-real/image_1749517959884_106_2_edited_0_3da04ae7.npy,0,lovora-real,real
lovora-real/image_1749517964306_122_3_edited_0_e4949401.npy,0,lovora-real,real
lovora-real/image_1749517999087_122_0_edited_0_355ac0fe.npy,0,lovora-real,real
